Data;ABEV3;BBAS3;BBDC4;BBSE3;BRFS3;BRML3;BVMF3;CCRO3;CIEL3;CMIG4;EQTL3;FIBR3;GGBR4;GOAU4;HYPE3;ITUB4;JBSS3;KROT3;LAME4;LREN3;PETR4;RADL3;UGPA3;USIM5;VIVT4;IBOV;CDI 252 dias;SMB;HML;WML;Rm_minus_Rf
06/02/2014;14.07801775;16.93424097;14.89785869;18.43497163;39.493528;9.80949252;8.485670921;12.89406894;16.66324537;8.754944638;20.43268362;23.35808733;15.53292672;19.78538088;13.63530125;19.1890446;7.384920247;8.685731242;9.296867138;9.17571744;13.3592878;13.85070104;47.71826427;12.07593705;34.6005058;47738;10.29;-0.8925213;0.4660675;1.0271737;1.8093534
07/02/2014;14.26955541;16.84800178;15.10800766;18.17806536;39.5125244;10.15645206;8.23735159;12.94450206;16.98049193;8.630249024;20.70202354;24.01882833;15.99476738;20.19479925;13.90353668;19.17699496;7.468839795;8.97825587;9.478649457;9.332581727;13.58491969;13.75517897;47.03916184;12.0368247;34.78770421;48073;10.29;-0.5258671;-0.0475871;-0.1684058;0.5090539
10/02/2014;14.05189898;17.30271751;14.96601511;18.29484094;38.96162863;10.04290167;8.134598764;12.68393092;16.8426717;8.558056827;20.32123262;23.37594519;15.46694948;19.38548387;13.72471306;19.14687087;7.319649487;8.951253596;9.394250523;9.234752386;13.73534094;13.61189585;46.4596611;11.43058332;35.25570023;47710;10.29;0.4908937;-0.6376066;-0.5186587;-0.5394294
11/02/2014;14.45238681;17.13023913;15.23125036;19.07334481;38.89514121;10.31416095;8.31441621;12.86044686;17.08450719;8.663063659;19.95901686;23.54559491;15.56120268;19.56638966;14.0376544;19.18301978;7.543434949;9.000757764;9.348804943;9.116682493;14.06438744;13.58323923;47.38324041;11.58703271;35.84069526;48462;10.29;-0.6255879;1.3142422;-0.2683258;1.0975951
12/02/2014;14.06060524;17.16943876;15.15681192;18.60624248;38.70517715;10.30785259;8.023283202;12.94450206;17.05850338;9.076528061;19.81970311;23.37594519;15.26901777;18.96654414;13.85883077;18.97817598;7.403569035;9.005258143;9.335820492;9.162223737;14.06438744;13.61189585;47.08443534;11.84126296;35.84069526;48216;10.29;-0.505431;-0.5866584;0.4764878;-0.3201453
13/02/2014;14.21731787;16.32272671;15.11672969;18.68409287;38.45822387;10.51602832;7.91196764;12.85204133;16.94148621;8.945269521;19.23458535;23.19736654;15.26901777;19.03319364;13.92141904;18.89382853;7.384920247;9.000757764;9.433203877;9.234752386;13.73534094;13.55458261;46.64075508;11.76303827;35.26350016;47812;10.29;-0.1779863;-0.5226609;0.0237082;-0.8352161
14/02/2014;14.52203687;16.15056324;15.2885107;18.94878419;38.8476502;10.68635391;8.203100648;13.11261248;16.8998801;8.761507565;19.14170952;23.50095025;15.39154692;19.09984314;13.82306605;19.03842415;7.440866612;9.113267236;9.361789395;9.226318823;13.70713696;13.43040391;46.71319267;11.28391202;35.48969824;48201;10.29;-0.1361448;0.0700248;-0.3512643;0.4652849
17/02/2014;14.41756178;16.15845311;15.18544209;18.80343128;38.27775802;10.18799384;8.108910557;13.22188425;16.82446903;8.5514939;18.29653942;22.9920011;14.98625818;18.7285102;13.5637718;18.79743144;7.412893429;9.012008711;9.316343815;9.091381801;13.56611703;13.57368702;47.5009515;10.67767065;34.94370288;47576;10.29;1.2157619;-0.2486633;-0.6714887;-1.0719578
18/02/2014;14.06060524;15.68506093;15.11672969;18.62792195;37.99281193;10.09336851;7.937655846;12.72595852;16.98049193;8.216784622;17.46065691;23.09021935;14.0814275;17.75733173;13.41177172;18.74320808;6.872078563;8.85449545;8.991732532;9.045840557;13.26527452;13.43040391;46.95766955;9.836755196;33.79711263;46599;10.29;-0.8970337;-2.6907675;0.6854301;-1.5477891
19/02/2014;14.22602413;15.50359393;15.43166155;18.71567661;38.92363582;10.5034116;8.185975177;12.99493519;16.93368506;8.334917309;18.28725184;23.53666598;14.36418709;18.16675011;13.4207129;19.05793985;6.760185832;8.753236926;9.024193661;9.13354962;13.34988647;13.70741793;47.83597536;10.07142928;33.50071515;47150;10.29;-0.954129;0.8163971;0.1792058;0.79509
